country_name,country_text_id,country_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem
Mexico,MEX,3.0,2016.0,0.638,0.431,0.396,0.496,0.334
Mexico,MEX,3.0,2017.0,0.636,0.443,0.408,0.488,0.333
Mexico,MEX,3.0,2018.0,0.673,0.45,0.427,0.474,0.368
Mexico,MEX,3.0,2019.0,0.675,0.434,0.412,0.421,0.394
Mexico,MEX,3.0,2020.0,0.652,0.407,0.401,0.406,0.37
Mexico,MEX,3.0,2021.0,0.613,0.368,0.392,0.382,0.324
Mexico,MEX,3.0,2022.0,0.571,0.326,0.397,0.349,0.311
Mexico,MEX,3.0,2023.0,0.534,0.299,0.377,0.33,0.286
Suriname,SUR,4.0,2016.0,0.765,0.628,0.484,0.613,0.566
Suriname,SUR,4.0,2017.0,0.756,0.627,0.475,0.615,0.553
Suriname,SUR,4.0,2018.0,0.751,0.61,0.473,0.616,0.552
Suriname,SUR,4.0,2019.0,0.742,0.58,0.467,0.604,0.54
Suriname,SUR,4.0,2020.0,0.754,0.633,0.473,0.562,0.544
Suriname,SUR,4.0,2021.0,0.75,0.631,0.48,0.59,0.552
Suriname,SUR,4.0,2022.0,0.775,0.652,0.498,0.611,0.577
Suriname,SUR,4.0,2023.0,0.753,0.631,0.479,0.593,0.56
Sweden,SWE,5.0,2016.0,0.914,0.881,0.657,0.871,0.845
Sweden,SWE,5.0,2017.0,0.914,0.881,0.655,0.873,0.836
Sweden,SWE,5.0,2018.0,0.909,0.878,0.655,0.866,0.831
Sweden,SWE,5.0,2019.0,0.901,0.871,0.649,0.833,0.824
Sweden,SWE,5.0,2020.0,0.901,0.872,0.648,0.838,0.823
Sweden,SWE,5.0,2021.0,0.901,0.869,0.649,0.838,0.823
Sweden,SWE,5.0,2022.0,0.896,0.867,0.644,0.814,0.812
Sweden,SWE,5.0,2023.0,0.884,0.852,0.631,0.797,0.798
Switzerland,CHE,6.0,2016.0,0.905,0.861,0.807,0.874,0.835
Switzerland,CHE,6.0,2017.0,0.908,0.868,0.81,0.879,0.839
Switzerland,CHE,6.0,2018.0,0.908,0.868,0.81,0.879,0.839
Switzerland,CHE,6.0,2019.0,0.907,0.866,0.805,0.877,0.838
Switzerland,CHE,6.0,2020.0,0.901,0.855,0.796,0.869,0.839
Switzerland,CHE,6.0,2021.0,0.897,0.851,0.799,0.863,0.831
Switzerland,CHE,6.0,2022.0,0.897,0.851,0.799,0.863,0.831
Switzerland,CHE,6.0,2023.0,0.89,0.844,0.792,0.856,0.821
Ghana,GHA,7.0,2016.0,0.73,0.613,0.366,0.599,0.527
Ghana,GHA,7.0,2017.0,0.742,0.631,0.382,0.618,0.52
Ghana,GHA,7.0,2018.0,0.743,0.63,0.381,0.638,0.532
Ghana,GHA,7.0,2019.0,0.725,0.615,0.357,0.606,0.521
Ghana,GHA,7.0,2020.0,0.722,0.612,0.353,0.602,0.518
Ghana,GHA,7.0,2021.0,0.661,0.557,0.323,0.532,0.468
Ghana,GHA,7.0,2022.0,0.664,0.566,0.322,0.557,0.474
Ghana,GHA,7.0,2023.0,0.661,0.562,0.32,0.557,0.475
South Africa,ZAF,8.0,2016.0,0.746,0.636,0.492,0.627,0.504
South Africa,ZAF,8.0,2017.0,0.736,0.622,0.486,0.623,0.493
South Africa,ZAF,8.0,2018.0,0.736,0.624,0.485,0.631,0.486
South Africa,ZAF,8.0,2019.0,0.711,0.607,0.462,0.617,0.474
South Africa,ZAF,8.0,2020.0,0.714,0.601,0.456,0.629,0.486
South Africa,ZAF,8.0,2021.0,0.724,0.609,0.461,0.64,0.51
South Africa,ZAF,8.0,2022.0,0.711,0.604,0.451,0.608,0.501
South Africa,ZAF,8.0,2023.0,0.687,0.584,0.434,0.589,0.466
Japan,JPN,9.0,2016.0,0.82,0.742,0.53,0.735,0.742
Japan,JPN,9.0,2017.0,0.818,0.74,0.535,0.733,0.736
Japan,JPN,9.0,2018.0,0.833,0.758,0.542,0.732,0.752
Japan,JPN,9.0,2019.0,0.831,0.755,0.539,0.735,0.752
Japan,JPN,9.0,2020.0,0.835,0.746,0.542,0.754,0.761
Japan,JPN,9.0,2021.0,0.818,0.729,0.523,0.738,0.746
Japan,JPN,9.0,2022.0,0.817,0.728,0.521,0.726,0.742
Japan,JPN,9.0,2023.0,0.818,0.731,0.524,0.728,0.745
Burma/Myanmar,MMR,10.0,2016.0,0.402,0.233,0.246,0.33,0.212
Burma/Myanmar,MMR,10.0,2017.0,0.405,0.236,0.249,0.323,0.23
Burma/Myanmar,MMR,10.0,2018.0,0.394,0.241,0.252,0.316,0.231
Burma/Myanmar,MMR,10.0,2019.0,0.425,0.26,0.266,0.334,0.245
Burma/Myanmar,MMR,10.0,2020.0,0.422,0.262,0.265,0.344,0.243
Burma/Myanmar,MMR,10.0,2021.0,0.108,0.022,0.101,0.063,0.064
Burma/Myanmar,MMR,10.0,2022.0,0.091,0.017,0.094,0.063,0.058
Burma/Myanmar,MMR,10.0,2023.0,0.081,0.016,0.086,0.062,0.058
Russia,RUS,11.0,2016.0,0.26,0.108,0.149,0.129,0.203
Russia,RUS,11.0,2017.0,0.261,0.109,0.149,0.129,0.204
Russia,RUS,11.0,2018.0,0.263,0.109,0.152,0.141,0.201
Russia,RUS,11.0,2019.0,0.26,0.105,0.152,0.129,0.196
Russia,RUS,11.0,2020.0,0.258,0.099,0.176,0.121,0.194
Russia,RUS,11.0,2021.0,0.244,0.095,0.155,0.114,0.187
Russia,RUS,11.0,2022.0,0.208,0.07,0.137,0.071,0.155
Russia,RUS,11.0,2023.0,0.19,0.062,0.126,0.075,0.132
Albania,ALB,12.0,2016.0,0.529,0.443,0.323,0.297,0.386
Albania,ALB,12.0,2017.0,0.54,0.441,0.327,0.279,0.387
Albania,ALB,12.0,2018.0,0.527,0.432,0.319,0.271,0.385
Albania,ALB,12.0,2019.0,0.517,0.432,0.314,0.265,0.375
Albania,ALB,12.0,2020.0,0.536,0.447,0.332,0.28,0.4
Albania,ALB,12.0,2021.0,0.53,0.439,0.33,0.342,0.401
Albania,ALB,12.0,2022.0,0.523,0.433,0.323,0.3,0.392
Albania,ALB,12.0,2023.0,0.51,0.402,0.316,0.278,0.383
Egypt,EGY,13.0,2016.0,0.179,0.122,0.058,0.117,0.088
Egypt,EGY,13.0,2017.0,0.179,0.115,0.061,0.102,0.093
Egypt,EGY,13.0,2018.0,0.178,0.114,0.062,0.1,0.097
Egypt,EGY,13.0,2019.0,0.176,0.119,0.076,0.1,0.102
Egypt,EGY,13.0,2020.0,0.176,0.121,0.072,0.112,0.103
Egypt,EGY,13.0,2021.0,0.183,0.12,0.073,0.111,0.1
Egypt,EGY,13.0,2022.0,0.185,0.129,0.079,0.103,0.104
Egypt,EGY,13.0,2023.0,0.189,0.129,0.079,0.103,0.109
Yemen,YEM,14.0,2016.0,0.115,0.038,0.067,0.028,0.034
Yemen,YEM,14.0,2017.0,0.113,0.036,0.067,0.025,0.023
Yemen,YEM,14.0,2018.0,0.114,0.037,0.068,0.029,0.023
Yemen,YEM,14.0,2019.0,0.119,0.04,0.066,0.029,0.023
Yemen,YEM,14.0,2020.0,0.115,0.035,0.062,0.027,0.022
Yemen,YEM,14.0,2021.0,0.117,0.034,0.064,0.02,0.022
Yemen,YEM,14.0,2022.0,0.125,0.043,0.067,0.052,0.022
Yemen,YEM,14.0,2023.0,0.13,0.048,0.069,0.06,0.04
Colombia,COL,15.0,2016.0,0.677,0.548,0.487,0.565,0.398
Colombia,COL,15.0,2017.0,0.676,0.547,0.48,0.558,0.391
Colombia,COL,15.0,2018.0,0.667,0.537,0.474,0.482,0.377
Colombia,COL,15.0,2019.0,0.649,0.507,0.451,0.429,0.358
Colombia,COL,15.0,2020.0,0.64,0.491,0.439,0.396,0.327
Colombia,COL,15.0,2021.0,0.646,0.489,0.443,0.413,0.343
Colombia,COL,15.0,2022.0,0.694,0.557,0.484,0.515,0.407
Colombia,COL,15.0,2023.0,0.704,0.565,0.485,0.51,0.425
Poland,POL,17.0,2016.0,0.728,0.6,0.485,0.508,0.645
Poland,POL,17.0,2017.0,0.69,0.539,0.454,0.466,0.603
Poland,POL,17.0,2018.0,0.688,0.518,0.45,0.474,0.602
Poland,POL,17.0,2019.0,0.684,0.507,0.447,0.451,0.597
Poland,POL,17.0,2020.0,0.613,0.449,0.393,0.401,0.526
Poland,POL,17.0,2021.0,0.587,0.425,0.367,0.38,0.506
Poland,POL,17.0,2022.0,0.579,0.421,0.356,0.363,0.503
Poland,POL,17.0,2023.0,0.588,0.444,0.366,0.438,0.514
Brazil,BRA,19.0,2016.0,0.778,0.659,0.523,0.567,0.485
Brazil,BRA,19.0,2017.0,0.773,0.644,0.507,0.569,0.468
Brazil,BRA,19.0,2018.0,0.748,0.612,0.48,0.52,0.443
Brazil,BRA,19.0,2019.0,0.691,0.536,0.437,0.471,0.392
Brazil,BRA,19.0,2020.0,0.696,0.539,0.448,0.471,0.389
Brazil,BRA,19.0,2021.0,0.675,0.528,0.43,0.481,0.379
Brazil,BRA,19.0,2022.0,0.692,0.543,0.442,0.492,0.39
Brazil,BRA,19.0,2023.0,0.784,0.692,0.546,0.711,0.515
United States of America,USA,20.0,2016.0,0.891,0.838,0.647,0.815,0.715
United States of America,USA,20.0,2017.0,0.833,0.753,0.598,0.636,0.652
United States of America,USA,20.0,2018.0,0.822,0.74,0.587,0.624,0.643
United States of America,USA,20.0,2019.0,0.812,0.737,0.58,0.623,0.633
United States of America,USA,20.0,2020.0,0.811,0.729,0.577,0.6,0.625
United States of America,USA,20.0,2021.0,0.825,0.756,0.588,0.711,0.6
United States of America,USA,20.0,2022.0,0.834,0.765,0.597,0.714,0.61
United States of America,USA,20.0,2023.0,0.848,0.772,0.606,0.716,0.602
Portugal,PRT,21.0,2016.0,0.889,0.832,0.638,0.837,0.809
Portugal,PRT,21.0,2017.0,0.898,0.848,0.641,0.844,0.814
Portugal,PRT,21.0,2018.0,0.899,0.849,0.636,0.85,0.817
Portugal,PRT,21.0,2019.0,0.883,0.82,0.619,0.829,0.791
Portugal,PRT,21.0,2020.0,0.886,0.808,0.611,0.809,0.783
Portugal,PRT,21.0,2021.0,0.89,0.817,0.617,0.8,0.772
Portugal,PRT,21.0,2022.0,0.844,0.756,0.579,0.74,0.729
Portugal,PRT,21.0,2023.0,0.845,0.751,0.573,0.735,0.69
El Salvador,SLV,22.0,2016.0,0.665,0.471,0.412,0.446,0.326
El Salvador,SLV,22.0,2017.0,0.672,0.471,0.416,0.447,0.329
El Salvador,SLV,22.0,2018.0,0.643,0.445,0.406,0.419,0.303
El Salvador,SLV,22.0,2019.0,0.6,0.401,0.353,0.306,0.288
El Salvador,SLV,22.0,2020.0,0.522,0.319,0.302,0.234,0.248
El Salvador,SLV,22.0,2021.0,0.406,0.163,0.235,0.155,0.197
El Salvador,SLV,22.0,2022.0,0.39,0.124,0.224,0.15,0.167
El Salvador,SLV,22.0,2023.0,0.388,0.111,0.225,0.153,0.17
Bangladesh,BGD,24.0,2016.0,0.279,0.111,0.134,0.148,0.127
Bangladesh,BGD,24.0,2017.0,0.273,0.108,0.136,0.143,0.108
Bangladesh,BGD,24.0,2018.0,0.26,0.103,0.122,0.105,0.1
Bangladesh,BGD,24.0,2019.0,0.253,0.096,0.119,0.111,0.102
Bangladesh,BGD,24.0,2020.0,0.257,0.096,0.12,0.104,0.098
Bangladesh,BGD,24.0,2021.0,0.252,0.094,0.116,0.103,0.099
Bangladesh,BGD,24.0,2022.0,0.262,0.096,0.122,0.107,0.106
Bangladesh,BGD,24.0,2023.0,0.253,0.096,0.122,0.123,0.103
Bolivia,BOL,25.0,2016.0,0.628,0.381,0.465,0.448,0.424
Bolivia,BOL,25.0,2017.0,0.621,0.37,0.459,0.425,0.419
Bolivia,BOL,25.0,2018.0,0.598,0.345,0.439,0.419,0.406
Bolivia,BOL,25.0,2019.0,0.477,0.253,0.351,0.319,0.303
Bolivia,BOL,25.0,2020.0,0.332,0.232,0.264,0.207,0.227
Bolivia,BOL,25.0,2021.0,0.606,0.358,0.428,0.414,0.4
Bolivia,BOL,25.0,2022.0,0.595,0.343,0.417,0.373,0.394
Bolivia,BOL,25.0,2023.0,0.586,0.353,0.398,0.361,0.383
Haiti,HTI,26.0,2016.0,0.396,0.243,0.233,0.254,0.118
Haiti,HTI,26.0,2017.0,0.404,0.239,0.237,0.257,0.121
Haiti,HTI,26.0,2018.0,0.41,0.243,0.243,0.263,0.123
Haiti,HTI,26.0,2019.0,0.4,0.233,0.216,0.249,0.117
Haiti,HTI,26.0,2020.0,0.376,0.22,0.149,0.262,0.111
Haiti,HTI,26.0,2021.0,0.319,0.195,0.182,0.252,0.092
Haiti,HTI,26.0,2022.0,0.217,0.144,0.098,0.208,0.066
Haiti,HTI,26.0,2023.0,0.214,0.066,0.098,0.197,0.06
Honduras,HND,27.0,2016.0,0.431,0.259,0.281,0.29,0.171
Honduras,HND,27.0,2017.0,0.414,0.249,0.271,0.273,0.164
Honduras,HND,27.0,2018.0,0.367,0.238,0.248,0.258,0.15
Honduras,HND,27.0,2019.0,0.373,0.234,0.253,0.264,0.155
Honduras,HND,27.0,2020.0,0.376,0.237,0.252,0.261,0.15
Honduras,HND,27.0,2021.0,0.395,0.248,0.266,0.273,0.154
Honduras,HND,27.0,2022.0,0.537,0.386,0.342,0.365,0.261
Honduras,HND,27.0,2023.0,0.534,0.394,0.326,0.383,0.26
Mali,MLI,28.0,2016.0,0.544,0.35,0.328,0.45,0.346
Mali,MLI,28.0,2017.0,0.53,0.327,0.32,0.417,0.343
Mali,MLI,28.0,2018.0,0.515,0.308,0.309,0.398,0.313
Mali,MLI,28.0,2019.0,0.511,0.32,0.309,0.419,0.32
Mali,MLI,28.0,2020.0,0.372,0.234,0.236,0.333,0.252
Mali,MLI,28.0,2021.0,0.243,0.158,0.177,0.241,0.184
Mali,MLI,28.0,2022.0,0.233,0.15,0.174,0.252,0.196
Mali,MLI,28.0,2023.0,0.229,0.148,0.198,0.239,0.206
Pakistan,PAK,29.0,2016.0,0.432,0.26,0.267,0.302,0.152
Pakistan,PAK,29.0,2017.0,0.426,0.258,0.264,0.309,0.153
Pakistan,PAK,29.0,2018.0,0.402,0.255,0.26,0.319,0.144
Pakistan,PAK,29.0,2019.0,0.379,0.239,0.244,0.301,0.137
Pakistan,PAK,29.0,2020.0,0.387,0.258,0.255,0.33,0.147
Pakistan,PAK,29.0,2021.0,0.402,0.253,0.255,0.297,0.165
Pakistan,PAK,29.0,2022.0,0.393,0.234,0.254,0.301,0.146
Pakistan,PAK,29.0,2023.0,0.344,0.212,0.231,0.229,0.129
Peru,PER,30.0,2016.0,0.788,0.674,0.551,0.609,0.511
Peru,PER,30.0,2017.0,0.79,0.679,0.552,0.62,0.511
Peru,PER,30.0,2018.0,0.81,0.7,0.61,0.613,0.526
Peru,PER,30.0,2019.0,0.805,0.697,0.586,0.599,0.526
Peru,PER,30.0,2020.0,0.818,0.711,0.601,0.611,0.533
Peru,PER,30.0,2021.0,0.769,0.661,0.543,0.578,0.486
Peru,PER,30.0,2022.0,0.746,0.634,0.514,0.444,0.452
Peru,PER,30.0,2023.0,0.699,0.576,0.471,0.408,0.417
Senegal,SEN,31.0,2016.0,0.721,0.579,0.455,0.601,0.538
Senegal,SEN,31.0,2017.0,0.7,0.555,0.455,0.574,0.528
Senegal,SEN,31.0,2018.0,0.699,0.551,0.456,0.574,0.513
Senegal,SEN,31.0,2019.0,0.725,0.573,0.472,0.606,0.526
Senegal,SEN,31.0,2020.0,0.74,0.573,0.476,0.619,0.554
Senegal,SEN,31.0,2021.0,0.726,0.569,0.464,0.606,0.547
Senegal,SEN,31.0,2022.0,0.688,0.534,0.443,0.576,0.518
Senegal,SEN,31.0,2023.0,0.617,0.459,0.392,0.519,0.446
South Sudan,SSD,32.0,2016.0,0.163,0.049,0.066,0.04,0.034
South Sudan,SSD,32.0,2017.0,0.16,0.057,0.058,0.048,0.034
South Sudan,SSD,32.0,2018.0,0.157,0.049,0.058,0.05,0.03
South Sudan,SSD,32.0,2019.0,0.164,0.062,0.065,0.044,0.041
South Sudan,SSD,32.0,2020.0,0.173,0.067,0.094,0.047,0.042
South Sudan,SSD,32.0,2021.0,0.131,0.055,0.056,0.123,0.028
South Sudan,SSD,32.0,2022.0,0.128,0.06,0.052,0.038,0.032
